N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
77252;09/12/2017;PUMMT;ACIDENTE;INDETERMINADO;NOVA BANDEIRANTES;MT;***;PRIVADA;FINALIZADA
77251;09/12/2017;PUANS;ACIDENTE;***;BAEPENDI;MG;***;PRIVADA;NULL
77250;09/12/2017;PTFJA;INCIDENTE;***;BARREIRAS;BA;SNDH;PRIVADA;FINALIZADA
77249;09/12/2017;PPFGR;INCIDENTE GRAVE;***, EXCURSÃO DE PISTA;ERECHIM;RS;SSER;INSTRUÇÃO;NULL
77248;09/12/2017;PTOTV;INCIDENTE GRAVE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;GOIÂNIA;GO;SBGO;NÃO REGULAR;FINALIZADA
77255;08/12/2017;PRLOR;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;SÃO FÉLIX DO XINGU;PA;***;PRIVADA;FINALIZADA
77257;07/12/2017;PTCKJ;INCIDENTE;***;FORTALEZA;CE;SBFZ;TÁXI AÉREO;FINALIZADA
77256;07/12/2017;PPBRV;INCIDENTE;***;FLORIANÓPOLIS;SC;SBFL;TÁXI AÉREO;FINALIZADA
77259;06/12/2017;PTOCL;ACIDENTE;CONTATO ANORMAL COM A PISTA;NAVEGANTES;SC;SBNF;TÁXI AÉREO;FINALIZADA
77258;06/12/2017;PRAYO;INCIDENTE;***;BELO HORIZONTE;MG;***;REGULAR;FINALIZADA
77271;03/12/2017;PTFFG;ACIDENTE;COLISÃO COM FAUNA, EXCURSÃO DE PISTA;TUCUMÃ;PA;***;AGRÍCOLA;FINALIZADA
77267;03/12/2017;PROTO;ACIDENTE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;ELDORADO;MS;SJFM;PRIVADA;FINALIZADA
77265;03/12/2017;PPVIT;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;TELÊMACO BORBA;PR;***;PRIVADA;FINALIZADA
77264;03/12/2017;PTBBN;ACIDENTE;CONTATO ANORMAL COM A PISTA;PIRACICABA;SP;SDPW;PRIVADA;FINALIZADA
77281;30/11/2017;PPLJA, PROTV;INCIDENTE GRAVE;PERDA DE SEPARAÇÃO / COLISÃO EM VOO;SÃO PAULO;SP;***;PRIVADA;FINALIZADA
77278;30/11/2017;PTJVM;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;MARINGÁ;PR;SBMG;PRIVADA;FINALIZADA
77277;30/11/2017;PTNSL;INCIDENTE GRAVE;CONTATO ANORMAL COM A PISTA;PARÁ DE MINAS;MG;SNPA;PRIVADA;FINALIZADA
